站点ID,城市
17438066,北京
19699,北京
17439994,北京
17434075,北京
17446908,北京
17421226,北京
17441034,北京
3279,北京
17421198,北京
19697,北京
17421202,北京
17447049,北京
17421155,北京
17438067,北京
17421156,北京
17421170,北京
17421201,北京
17436420,北京
17438072,北京
17421175,北京
17437749,北京
17436802,北京
17421152,北京
17446905,北京
17436354,北京
17446584,北京
17437745,北京
17438061,北京
5002413,北京
2752,大连
19840,大连
17410833,大连
19836,大连
17408500,大连
17406961,常州
19911,常州
17406962,常州
17448890,常州
17441213,东莞
17441888,东莞
17434359,东莞
17413390,东莞
17419270,东莞
17441212,东莞
17412658,赤峰
17412574,赤峰
17434982,赤峰
17412575,赤峰
17417856,包头
17443926,包头
17418756,包头
17417851,包头
17447369,安阳
17435012,安阳
17433015,安阳
17433016,安阳
17437145,鞍山
17437143,鞍山
17437144,鞍山
17437146,鞍山
17448098,大庆
17445535,大庆
17445534,大庆
17445536,大庆
17448097,大庆
17448731,大庆
3719,潍坊
3720,潍坊
17447000,潍坊
17409662,潍坊
19798,苏州
17440071,苏州
17439631,苏州
17438643,苏州
17440073,苏州
17440047,苏州
19797,苏州
17438642,苏州
17438644,苏州
17438641,苏州
17443874,苏州
17446504,苏州
19665,无锡
17440507,无锡
17441004,无锡
17448565,无锡
17448304,无锡
17440447,无锡
17441761,无锡
17407120,沈阳
3139,沈阳
19851,沈阳
17406538,沈阳
17417861,沈阳
17416755,沈阳
17428444,沈阳
17408309,沈阳
17405497,沈阳
17406541,沈阳
17432831,沈阳
17406540,沈阳
17406542,沈阳
6204406,沈阳
17447167,沈阳
17408916,沈阳
17409264,沈阳
19848,沈阳
17422035,沈阳
17447482,深圳
17422970,深圳
19553,深圳
17445526,深圳
17447481,深圳
17406733,深圳
17433298,深圳
17406730,深圳
17406735,深圳
17447439,重庆
17445808,重庆
17445811,重庆
17445812,重庆
17445810,重庆
17447428,重庆
17448728,重庆
17447429,重庆
17445807,重庆
17445809,重庆
17447008,天津
17447012,天津
17447010,天津
17447009,天津
17447014,天津
17447011,天津
17447013,天津
17447306,福州
17447304,福州
17447305,福州
17447397,福州
17447396,福州
17448124,长春
17448123,长春
17448127,长春
17448125,长春
17448128,长春
17448126,长春
17448129,长春
17425004,佛山
17413959,佛山
279,佛山
17427155,佛山
17405156,佛山
17433631,佛山
17423819,佛山
17435053,佛山
17423358,佛山
2614,郑州
17419499,郑州
19567,郑州
17448773,郑州
17448772,郑州
17448412,齐齐哈尔
17446420,齐齐哈尔
17091,上海
17415336,上海
17338,上海
17430384,上海
17441959,上海
17438341,上海
17415338,上海
17415352,上海
17440476,上海
17441820,上海
17415351,上海
6204614,上海
17438338,上海
17415755,上海
17415334,上海
17404902,上海
17442835,上海
17415358,上海
17440520,上海
17415360,上海
17414283,上海
17406123,长沙
17426184,长沙
17406122,长沙
17435323,长沙
6203731,长沙
17435739,长沙
17442492,长沙
17438025,长沙
17447587,商丘
17447588,商丘
17441525,商丘
17434014,商丘
17447589,商丘
17434995,盐城
17435017,哈尔滨
17444743,哈尔滨
17444745,哈尔滨
17448324,哈尔滨
17447732,哈尔滨
17444747,哈尔滨
17448325,哈尔滨
17435020,哈尔滨
17444741,哈尔滨
17441877,贵阳
17441876,贵阳
18418,昆明
6204278,昆明
17447528,昆明
17447529,昆明
17441510,南宁
419,南宁
17406576,南宁
693,南宁
17412292,呼和浩特
17433306,呼和浩特
17442224,呼和浩特
17410838,呼和浩特
17412295,呼和浩特
17412293,呼和浩特
17414310,兰州
17419467,兰州
17436053,兰州
17436054,兰州
17417319,嘉兴
17417303,嘉兴
17414570,嘉兴
17417304,嘉兴
17417306,嘉兴
17417313,嘉兴
17434358,吉林
17446266,吉林
17437176,江门
17437618,江门
17438951,江门
17437617,江门
17439464,佳木斯
17441893,佳木斯
17439465,佳木斯
17439461,佳木斯
17444712,南阳
17443040,南阳
17443041,南阳
17443042,南阳
17441559,鞍山
17437743,苏州
17437754,北京
17446583,北京
17438073,北京
17417857,包头
17440508,无锡
17446016,佛山
17415366,上海
17439391,上海
6204279,昆明
17439444,呼和浩特
17423646,呼和浩特
17437751,北京
17440207,北京
17437759,北京
17437746,北京
17441030,北京
17442157,北京
17439392,上海
17250,上海
17444608,赤峰
17443925,包头
17447440,鞍山
17442223,呼和浩特
17437744,北京
17436422,北京
17442652,佳木斯
17446721,包头
17447368,大庆
17436355,北京
17437756,北京
17446381,沈阳
17447615,商丘
17446380,沈阳
17448099,大庆
17447168,沈阳
17446841,南宁
17449604,鄂尔多斯
17447701,上海
17448580,上海
17450959,青岛
17450960,青岛
17450961,青岛
17450962,青岛
17450963,青岛
17450964,青岛
17450965,青岛
17450966,青岛
17450967,青岛
17450968,青岛
17451166,沈阳
17451167,沈阳
